env,algorithm,config,run,mc_mean,mc_stddev
frozenlake,UCT,bias=5.000000,eps=0.100000,5,0.100708,0.250321
frozenlake,UCT,bias=5.000000,eps=0.100000,6,0.213854,0.331798
frozenlake,UCT,bias=5.000000,eps=0.100000,7,0.0879055,0.228329
frozenlake,UCT,bias=5.000000,eps=0.100000,8,0.109857,0.257602
frozenlake,UCT,bias=5.000000,eps=0.100000,9,0.0893775,0.237334
frozenlake,UCT,bias=5.000000,eps=0.100000,10,0.223137,0.337802
frozenlake,UCT,bias=5.000000,eps=0.100000,11,0.138168,0.281899
frozenlake,UCT,bias=5.000000,eps=0.100000,12,0.0860517,0.233835
frozenlake,UCT,bias=5.000000,eps=0.100000,13,0.116714,0.268196
frozenlake,UCT,bias=5.000000,eps=0.100000,14,0.0633259,0.202257
frozenlake,UCT,bias=5.000000,eps=0.100000,15,0.214893,0.333249
frozenlake,UCT,bias=5.000000,eps=0.100000,16,0.126057,0.270598
frozenlake,UCT,bias=5.000000,eps=0.100000,17,0.105511,0.247237
frozenlake,UCT,bias=5.000000,eps=0.100000,18,0.0432229,0.171709
frozenlake,UCT,bias=5.000000,eps=0.100000,19,0.128426,0.275263
frozenlake,UCT,bias=5.000000,eps=0.100000,20,0.0384632,0.16007
frozenlake,UCT,bias=5.000000,eps=0.100000,21,0.0985515,0.24554
frozenlake,UCT,bias=5.000000,eps=0.100000,22,0.0897047,0.233125
frozenlake,UCT,bias=5.000000,eps=0.100000,23,0.0166292,0.10439
frozenlake,UCT,bias=5.000000,eps=0.100000,24,0.109306,0.256293
frozenlake,UCT,bias=5.000000,eps=0.100000,25,0.22922,0.339078
frozenlake,UCT,bias=5.000000,eps=0.100000,26,0.0863885,0.229624
frozenlake,UCT,bias=5.000000,eps=0.100000,27,0.127682,0.27364
frozenlake,UCT,bias=5.000000,eps=0.100000,28,0.107104,0.251462
frozenlake,UCT,bias=5.000000,eps=0.100000,29,0.106417,0.254546
frozenlake,UCT,bias=5.000000,eps=0.100000,30,0.15947,0.297522
frozenlake,UCT,bias=5.000000,eps=0.100000,31,0.0869568,0.231229
frozenlake,UCT,bias=5.000000,eps=0.100000,32,0.178498,0.314327
frozenlake,UCT,bias=5.000000,eps=0.100000,33,0.234678,0.342986
frozenlake,UCT,bias=5.000000,eps=0.100000,34,0.149148,0.29036
frozenlake,UCT,bias=5.000000,eps=0.100000,35,0.048144,0.176486
frozenlake,UCT,bias=5.000000,eps=0.100000,36,0.0736613,0.216082
frozenlake,UCT,bias=5.000000,eps=0.100000,37,0.177807,0.313224
frozenlake,UCT,bias=5.000000,eps=0.100000,38,0.126762,0.267314
frozenlake,UCT,bias=5.000000,eps=0.100000,39,0.242263,0.338997
frozenlake,UCT,bias=5.000000,eps=0.100000,40,0.204181,0.328336
frozenlake,UCT,bias=5.000000,eps=0.100000,41,0.107414,0.256676
frozenlake,UCT,bias=5.000000,eps=0.100000,42,0.219461,0.336199
frozenlake,UCT,bias=5.000000,eps=0.100000,43,0.10396,0.248843
frozenlake,UCT,bias=5.000000,eps=0.100000,44,0.17959,0.308312
frozenlake,UCT,bias=5.000000,eps=0.100000,45,0.106353,0.249592
frozenlake,UCT,bias=5.000000,eps=0.100000,46,0.104696,0.250654
frozenlake,UCT,bias=5.000000,eps=0.100000,47,0.134567,0.283334
frozenlake,UCT,bias=5.000000,eps=0.100000,48,0.136171,0.282392
frozenlake,UCT,bias=5.000000,eps=0.100000,49,0.22081,0.330602
frozenlake,UCT,bias=5.000000,eps=0.500000,0,0.14112,0.283828
frozenlake,UCT,bias=5.000000,eps=0.500000,1,0.0851738,0.226451
frozenlake,UCT,bias=5.000000,eps=0.500000,2,0.106409,0.254508
frozenlake,UCT,bias=5.000000,eps=0.500000,3,0.11143,0.261088
frozenlake,UCT,bias=5.000000,eps=0.500000,4,0.0505068,0.178059
frozenlake,UCT,bias=5.000000,eps=0.500000,5,0.0271576,0.133906
frozenlake,UCT,bias=5.000000,eps=0.500000,6,0.219985,0.336923
frozenlake,UCT,bias=5.000000,eps=0.500000,7,0.117114,0.259872
frozenlake,UCT,bias=5.000000,eps=0.500000,8,0.207726,0.33005
frozenlake,UCT,bias=5.000000,eps=0.500000,9,0.189175,0.32019
frozenlake,UCT,bias=5.000000,eps=0.500000,10,0.14416,0.289344
frozenlake,UCT,bias=5.000000,eps=0.500000,11,0.113761,0.25234
frozenlake,UCT,bias=5.000000,eps=0.500000,12,0.0162708,0.102007
frozenlake,UCT,bias=5.000000,eps=0.500000,13,0.139094,0.283803
frozenlake,UCT,bias=5.000000,eps=0.500000,14,0.0726028,0.21302
frozenlake,UCT,bias=5.000000,eps=0.500000,15,0.0129537,0.0910558
frozenlake,UCT,bias=5.000000,eps=0.500000,16,0.0899454,0.238875
frozenlake,UCT,bias=5.000000,eps=0.500000,17,0.085737,0.233123
frozenlake,UCT,bias=5.000000,eps=0.500000,18,0.044259,0.168701
frozenlake,UCT,bias=5.000000,eps=0.500000,19,0.164356,0.305983
frozenlake,UCT,bias=5.000000,eps=0.500000,20,0.109113,0.255808
frozenlake,UCT,bias=5.000000,eps=0.500000,21,0.21631,0.335282
frozenlake,UCT,bias=5.000000,eps=0.500000,22,0.116841,0.263949
frozenlake,UCT,bias=5.000000,eps=0.500000,23,0.122676,0.272089
frozenlake,UCT,bias=5.000000,eps=0.500000,24,0.0852215,0.231817
frozenlake,UCT,bias=5.000000,eps=0.500000,25,0.0823078,0.223755
