env,algorithm,run,trial,mc_mean,mc_stddev
taxi,UCT,13,27000,-45.92,15.1665
taxi,UCT,13,28000,-45.965,15.1563
taxi,UCT,13,29000,-44.84,14.4429
taxi,UCT,13,30000,-45.29,15.8703
taxi,UCT,14,1000,-57.98,25.4298
taxi,UCT,14,2000,-40.595,37.0687
taxi,UCT,14,3000,-31.535,35.6564
taxi,UCT,14,4000,-32.19,35.9095
taxi,UCT,14,5000,-33.17,36.3555
taxi,UCT,14,6000,-30.32,34.0862
taxi,UCT,14,7000,-29.77,34.892
taxi,UCT,14,8000,-27.265,34.7389
taxi,UCT,14,9000,-21.74,34.2281
taxi,UCT,14,10000,-27.085,34.162
taxi,UCT,14,11000,-25.065,35.1637
taxi,UCT,14,12000,-26.005,34.1871
taxi,UCT,14,13000,-24.47,33.899
taxi,UCT,14,14000,-22.3,34.9837
taxi,UCT,14,15000,-22.6,34.3738
taxi,UCT,14,16000,-21.025,33.5263
taxi,UCT,14,17000,-24.395,34.7609
taxi,UCT,14,18000,-21.27,34.2679
taxi,UCT,14,19000,-17.615,33.4222
taxi,UCT,14,20000,-23.505,33.5838
taxi,UCT,14,21000,-23.05,34.5562
taxi,UCT,14,22000,-19.98,33.1703
taxi,UCT,14,23000,-20.46,34.059
taxi,UCT,14,24000,-23.04,33.6806
taxi,UCT,14,25000,-19.84,32.3943
taxi,UCT,14,26000,-20.92,33.7764
taxi,UCT,14,27000,-17.49,33.5761
taxi,UCT,14,28000,-14.64,31.3861
taxi,UCT,14,29000,-19.845,32.7252
taxi,UCT,14,30000,-18.65,32.4858
taxi,UCT,15,1000,-60.86,17.6077
taxi,UCT,15,2000,-55.065,16.664
taxi,UCT,15,3000,-56.355,18.9171
taxi,UCT,15,4000,-55.575,18.0937
taxi,UCT,15,5000,-51.94,15.3229
taxi,UCT,15,6000,-50.195,15.5727
taxi,UCT,15,7000,-49.73,15.9461
taxi,UCT,15,8000,-50.15,16.1338
taxi,UCT,15,9000,-49.34,15.265
taxi,UCT,15,10000,-50.24,13.8913
taxi,UCT,15,11000,-47.66,14.9718
taxi,UCT,15,12000,-48.695,16.5512
taxi,UCT,15,13000,-48.395,16.5657
taxi,UCT,15,14000,-48.755,15.0084
taxi,UCT,15,15000,-47.81,14.8583
taxi,UCT,15,16000,-47.855,16.6025
taxi,UCT,15,17000,-47.54,14.9525
taxi,UCT,15,18000,-47.405,16.2481
taxi,UCT,15,19000,-47.36,14.6277
taxi,UCT,15,20000,-47.405,15.5832
taxi,UCT,15,21000,-46.505,14.7209
taxi,UCT,15,22000,-47.315,14.8085
taxi,UCT,15,23000,-47.45,16.1085
taxi,UCT,15,24000,-46.415,14.8003
taxi,UCT,15,25000,-45.42,15.3938
taxi,UCT,15,26000,-45.155,14.9918
taxi,UCT,15,27000,-45.57,15.8389
taxi,UCT,15,28000,-44.085,15.8953
taxi,UCT,15,29000,-45.695,15.5335
taxi,UCT,15,30000,-44.84,15.6078
taxi,UCT,16,1000,-63,18.5505
taxi,UCT,16,2000,-58.21,17.7267
taxi,UCT,16,3000,-55.645,18.3574
taxi,UCT,16,4000,-54.545,19.6228
taxi,UCT,16,5000,-52.65,20.5575
taxi,UCT,16,6000,-51.45,19.9763
taxi,UCT,16,7000,-48.935,22.7349
taxi,UCT,16,8000,-50.68,21.7433
taxi,UCT,16,9000,-48.85,20.5061
taxi,UCT,16,10000,-49.485,19.3154
taxi,UCT,16,11000,-49.97,19.6706
taxi,UCT,16,12000,-49.36,20.524
taxi,UCT,16,13000,-48.48,19.3796
taxi,UCT,16,14000,-47.125,21.0739
taxi,UCT,16,15000,-48.825,16.6252
taxi,UCT,16,16000,-49.055,20.2475
taxi,UCT,16,17000,-48.09,20.42
taxi,UCT,16,18000,-48.295,17.0311
taxi,UCT,16,19000,-47.58,19.5773
taxi,UCT,16,20000,-47.18,19.6327
taxi,UCT,16,21000,-46.88,18.6794
taxi,UCT,16,22000,-45.37,20.5351
taxi,UCT,16,23000,-44.885,20.0683
taxi,UCT,16,24000,-44.395,19.6292
taxi,UCT,16,25000,-44.76,21.5573
taxi,UCT,16,26000,-45.365,18.6575
taxi,UCT,16,27000,-47.285,17.7711
taxi,UCT,16,28000,-45.915,18.9728
taxi,UCT,16,29000,-44.485,18.5619
taxi,UCT,16,30000,-44.48,21.1354
taxi,UCT,17,1000,-62.84,15.7376
taxi,UCT,17,2000,-62.615,17.1542
taxi,UCT,17,3000,-59.475,17.4053
taxi,UCT,17,4000,-59.26,15.854
taxi,UCT,17,5000,-57.6,17.2178
taxi,UCT,17,6000,-57.395,17.8913
taxi,UCT,17,7000,-55.955,17.7991
taxi,UCT,17,8000,-56.345,16.4459
taxi,UCT,17,9000,-53.17,19.5841
