function,function_index,dimension,instance,best_f_cma,best_f_berw,label,misranking_rd,variance_rel_sd,pred_misranking,pred_variance
115,15,40,7,24.62171419,14.33924785,berw,0.0,0.001331627772831854,cma,cma
115,15,40,8,12.1453641,29.00716751,cma,0.0,0.0006909077348728973,cma,cma
115,15,40,9,17.15405021,14.51899837,berw,0.0,0.00134602014825411,cma,cma
115,15,40,10,8.52536652,18.81111781,cma,0.008888888888888889,0.0009032019543075069,cma,cma
115,15,40,11,12.81180169,23.80082624,cma,0.0,4.9665130235730233e-05,cma,cma
115,15,40,12,24.24203558,31.54127665,cma,0.0,0.00016070899316355717,cma,cma
115,15,40,13,14.74290786,29.20541958,cma,0.0,0.00040307547690725677,cma,cma
115,15,40,14,21.68672174,18.66682602,berw,0.0,0.00035680064843813804,cma,cma
115,15,40,15,23.58944196,20.97898929,berw,0.0,0.0004035327574921174,cma,cma
116,16,40,1,33066.22822,25966.54957,berw,0.32,1.0926799925684962,berw,berw
116,16,40,2,29296.80144,15219.88761,berw,0.29333333333333333,0.8507821641238105,berw,berw
116,16,40,3,26740.89983,17998.76788,berw,0.2577777777777778,1.0385648239092211,berw,berw
116,16,40,4,41810.14454,25012.05631,berw,0.28444444444444444,0.9705481226003402,berw,berw
116,16,40,5,63744.70175,29188.46952,berw,0.38222222222222224,0.9009408555842192,berw,berw
116,16,40,6,21237.54006,20749.09617,berw,0.32,0.4511379422962135,berw,berw
116,16,40,7,33626.48621,18021.60001,berw,0.28444444444444444,1.0641909790649065,berw,berw
116,16,40,8,56747.84682,18519.29358,berw,0.3288888888888889,0.9395950299499631,berw,berw
116,16,40,9,16562.05755,28877.26532,cma,0.3911111111111111,0.7015072714322175,berw,berw
116,16,40,10,41045.10269,43239.78848,cma,0.36444444444444446,1.6217358522934227,berw,berw
116,16,40,11,19934.94629,18623.05493,berw,0.26666666666666666,0.6613025698643724,berw,berw
116,16,40,12,48550.25998,8744.883175,berw,0.3555555555555555,0.8206900553008605,berw,berw
116,16,40,13,23128.95344,21564.54354,berw,0.32,1.363639428687999,berw,berw
116,16,40,14,26640.35593,11270.96488,berw,0.20444444444444446,0.9007110527768077,berw,berw
116,16,40,15,34391.52955,17582.50954,berw,0.24888888888888888,0.6248376279183996,berw,berw
117,17,40,1,60748.80892,67775.55653,cma,0.2577777777777778,0.6424366406882758,berw,berw
117,17,40,2,52242.81199,28648.76103,berw,0.3733333333333333,1.7447365824930585,berw,berw
117,17,40,3,68610.89648,87099.85631,cma,0.36444444444444446,1.669688192350136,berw,berw
117,17,40,4,74027.3408,86979.07135,cma,0.32,1.2029796216363147,berw,berw
117,17,40,5,68697.76592,53550.69058,berw,0.43555555555555553,1.134990515344874,berw,berw
117,17,40,6,40352.15324,55928.97215,cma,0.3022222222222222,0.8723929888004028,berw,berw
117,17,40,7,90651.11877,27697.82969,berw,0.28444444444444444,1.4769269911844694,berw,berw
117,17,40,8,46116.01737,68860.44157,cma,0.36444444444444446,1.0342091958773347,berw,berw
117,17,40,9,65759.66267,51478.00452,berw,0.3911111111111111,2.0377621620140784,berw,berw
117,17,40,10,67572.16008,69958.5406,cma,0.19555555555555554,0.9699394156860739,berw,berw
117,17,40,11,73007.75015,58709.71782,berw,0.29333333333333333,1.5924347771935905,berw,berw
117,17,40,12,49855.87551,49603.2711,berw,0.29333333333333333,1.1890961984333352,berw,berw
117,17,40,13,84723.63881,112179.3445,cma,0.28444444444444444,1.1232429613091082,berw,berw
