angles_pos_neutral,angles_pos_neg,angles_neg_neutral
0.5001401,0.6056434,0.37693655
0.39332664,0.38923186,0.37693655
0.51990485,0.43368432,0.37693655
0.041665122,0.3077445,0.3558002
0.041665122,0.33988073,0.4019667
0.041665122,0.38416514,0.43261135
0.041665122,0.5121404,0.57250607
0.05014746,0.33251655,0.33670652
0.05014746,0.3596574,0.37385216
0.05014746,0.4115491,0.43021315
0.05014746,0.5490115,0.5612675
0.31688368,0.3996189,0.4241715
0.31688368,0.47045398,0.623529
0.31688368,0.5544015,0.56928766
0.31688368,0.57866347,0.5936617
0.29878184,0.44569796,0.26364088
0.29878184,0.55673885,0.3611933
0.29878184,0.41777277,0.31721503
0.29878184,0.5106114,0.4665357
0.267363,0.3077445,0.32262403
0.31379396,0.33251655,0.32262403
0.2761919,0.3996189,0.32262403
0.43645304,0.44569796,0.32262403
0.22990146,0.33988073,0.27902064
0.2741537,0.3596574,0.27902064
0.2866042,0.47045398,0.27902064
0.33809125,0.55673885,0.27902064
0.43069643,0.38416514,0.40131086
0.45698935,0.4115491,0.40131086
0.47055644,0.5544015,0.40131086
0.43377075,0.41777277,0.40131086
0.37705314,0.5121404,0.44956884
0.41273925,0.5490115,0.44956884
0.392478,0.57866347,0.44956884
0.520404,0.5106114,0.44956884
0.38451916,0.6787206,0.62720406
0.38451916,0.6028864,0.5527661
0.38451916,0.5412109,0.5308267
0.38451916,0.6099678,0.6371534
0.47922164,0.6960207,0.49655783
0.47922164,0.6488402,0.4253263
0.47922164,0.5072899,0.39785093
0.47922164,0.6429827,0.49356538
0.4458777,0.6960207,0.7162664
0.4458777,0.6488402,0.58126134
0.4458777,0.5072899,0.5601407
0.4458777,0.6429827,0.68649423
0.065724134,0.66404784,0.70343477
0.065724134,0.62079656,0.65918803
0.065724134,0.44530147,0.49978966
0.065724134,0.64170897,0.6840793
0.57091427,0.6787206,0.5724652
0.63753086,0.6960207,0.5724652
0.63753086,0.6960207,0.5724652
0.6120102,0.66404784,0.5724652
0.5118388,0.6028864,0.35092446
0.5199091,0.6488402,0.35092446
0.5199091,0.6488402,0.35092446
0.5031533,0.62079656,0.35092446
0.43748605,0.5412109,0.5101463
0.50928724,0.5072899,0.5101463
0.50928724,0.5072899,0.5101463
0.47762772,0.44530147,0.5101463
0.49589282,0.6099678,0.5906414
0.57465816,0.6429827,0.5906414
0.57465816,0.6429827,0.5906414
0.5088798,0.64170897,0.5906414
0.38328207,0.4479879,0.40952733
0.38328207,0.5451325,0.51642746
0.38328207,0.4942274,0.40592748
0.38328207,0.5291697,0.52264893
0.1535854,0.43349296,0.3375695
0.1535854,0.49550217,0.46057332
0.1535854,0.4635747,0.38223135
0.1535854,0.58352494,0.48022604
0.1121247,0.35770756,0.42703265
0.1121247,0.48422623,0.5586935
0.1121247,0.3768914,0.45480752
0.1121247,0.5179822,0.5944973
0.41079584,0.52236336,0.4909159
0.41079584,0.62806886,0.56705046
0.41079584,0.64674056,0.46887618
0.41079584,0.6521473,0.58936346
0.45832163,0.4479879,0.45443547
0.23460114,0.43349296,0.45443547
0.30564356,0.35770756,0.45443547
0.38822353,0.52236336,0.45443547
0.42532057,0.5451325,0.3188214
0.32959127,0.49550217,0.3188214
0.2754536,0.48422623,0.3188214
0.5124317,0.62806886,0.3188214
0.5014308,0.4942274,0.18576773
0.3441831,0.4635747,0.18576773
0.25620294,0.3768914,0.18576773
0.5399835,0.64674056,0.18576773
0.36700132,0.5291697,0.24137214
0.36850515,0.58352494,0.24137214
0.26873487,0.5179822,0.24137214
0.50710493,0.6521473,0.24137214
0.40520567,0.6932422,0.49406415
0.40520567,0.45946598,0.15807912
0.40520567,0.56650186,0.3238388
0.40520567,0.5084135,0.38504946
0.2904509,0.57654715,0.60809565
0.2904509,0.3317262,0.29851022
0.2904509,0.491578,0.4597139
0.2904509,0.49109983,0.49822575
0.5188526,0.8253461,0.7594885
0.5188526,0.50708175,0.48531157
0.5188526,0.47634578,0.561858
0.5188526,0.56976056,0.50222725
0.36667463,0.65562963,0.72495496
0.36667463,0.4068185,0.3847134
0.36667463,0.47399208,0.45207158
0.36667463,0.45646048,0.49954468
0.54806745,0.6932422,0.5433514
0.42165634,0.57654715,0.5433514
0.6100235,0.8253461,0.5433514
0.44749925,0.65562963,0.5433514
0.445351,0.45946598,0.09343816
0.30574855,0.3317262,0.09343816
0.44954407,0.50708175,0.09343816
0.36561528,0.4068185,0.09343816
0.599815,0.56650186,0.2753374
0.49915192,0.491578,0.2753374
0.56933314,0.47634578,0.2753374
0.46424,0.47399208,0.2753374
0.49893975,0.5084135,0.48122454
0.507369,0.49109983,0.48122454
0.43408686,0.56976056,0.48122454
0.47010756,0.45646048,0.48122454
0.09274565,0.5923499,0.66622734
0.09274565,0.600472,0.6588038
0.09274565,0.66426986,0.71718895
0.09274565,0.5158321,0.5554304
0.16739699,0.5747157,0.6265563
0.16739699,0.58126605,0.675074
0.16739699,0.68497646,0.72420204
0.16739699,0.5175122,0.57937205
0.4907472,0.68515944,0.49875054
0.4907472,0.66475457,0.53876746
0.4907472,0.5861696,0.5651429
0.4907472,0.7115718,0.40724877
0.5709686,0.72453994,0.55298126
0.5709686,0.78183246,0.5391338
0.5709686,0.7573646,0.61598337
0.5709686,0.68021727,0.46348172
0.43544832,0.5923499,0.4792086
0.4643357,0.5747157,0.4792086
0.5830416,0.68515944,0.4792086
0.6321413,0.72453994,0.4792086
0.3306496,0.600472,0.5610826
0.30688316,0.58126605,0.5610826
0.5300835,0.66475457,0.5610826
0.57814586,0.78183246,0.5610826
0.34047088,0.66426986,0.5436599
0.35911608,0.68497646,0.5436599
0.46012872,0.5861696,0.5436599
0.53445256,0.7573646,0.5436599
0.38556796,0.5158321,0.5804255
0.40526488,0.5175122,0.5804255
0.5089194,0.7115718,0.5804255
0.4468963,0.68021727,0.5804255
0.562652,0.45980048,0.34493992
0.562652,0.5940626,0.43975002
0.562652,0.6410265,0.53532803
0.562652,0.6025621,0.46393073
0.4195273,0.6838922,0.5228102
0.4195273,0.63972974,0.49624473
0.4195273,0.5614166,0.45258927
0.4195273,0.58176655,0.46596402
0.40327445,0.53510666,0.49597463
0.40327445,0.56254995,0.48167703
0.40327445,0.5558759,0.46105346
0.40327445,0.5697908,0.46143666
0.69250816,0.6730033,0.43849164
0.69250816,0.60539436,0.3941138
0.69250816,0.5649177,0.48606956
