"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"DreadPoor/Griffon-7B-Model_Stock",0.693789227274099,1.28665419387294,100,844,0.96,0.658008209434596
"cloudyu/Mixtral-8x7B-Instruct-v0.1-DPO",0.576824317614348,0.083118873849346,100,844,0.76,0.552203930196922
"ShenaoZhang/0.001_4iters_bs256_nodpo_only4w_userresponse_iter_4",0.531975213291496,-0.38384631554364,100,844,0.67,0.51342349464788
"TeeZee/GALAXY_v03_slimorca_1_epoch_50k_DPO_1_epoch_30k",0.545727631807751,-0.225833204404988,100,844,0.69,0.526336184470083
"hfl/chinese-mixtral-instruct",0.550052486181921,-0.198755336226587,100,844,0.71,0.528554164432179
"saucam/mistral-orpo-beta-NeuralBeagle14-7B-dare-ties",0.580523166975014,0.145047872372827,100,844,0.75,0.557744022751226
"0-hero/Matter-0.1-Slim-7B-B",0.527342479024526,-0.382371233357956,100,844,0.63,0.513544425129973
"Sao10K/Skadi-Mixtral-v1",0.568272304585936,0.017678644150764,100,844,0.73,0.546534711116304
"maldv/SFR-Iterative-DPO-LLaMA-3-8B-R",0.536154147604634,-0.391596236307116,100,844,0.71,0.512787769594504
"uproai/Rose-2x7B",0.584337308814542,0.192315470382112,100,844,0.75,0.562070818063809
"tenyx/Llama3-TenyxChat-70B",0.571177013105115,-0.00684761898925897,100,844,0.77,0.544453493361179
"Vasanth/Valor_Macaroni_moe",0.649306254676097,0.786977651214031,100,844,0.88,0.618299030842239
"jsfs11/MixtureofMerges-MoE-4x7b-v3",0.722585500963503,1.97097762067916,100,844,0.98,0.687986777974727
"NeuralNovel/Senzu-7B-v0.1-DPO",0.582107559156015,0.150037801107843,100,844,0.76,0.558197284849028
"allknowingroger/LimyQstar-7B-slerp",0.607618661174013,0.401523645905733,100,844,0.8,0.581760954342563
