GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
RTX5080,Qwen2.5-7B,256,5.56e+02,1.64,1.28,1.14,1.05,1.03,1.01,0.97,0.87
RTX5080,Qwen2.5-7B,512,1.06e+03,1.69,1.31,1.17,1.08,1.05,1.03,1.00,0.88
RTX5080,Qwen2.5-7B,1024,2.05e+03,1.72,1.31,1.18,1.09,1.04,1.04,1.00,0.88
RTX5080,Qwen2.5-7B,2048,4.06e+03,1.76,1.32,1.17,1.09,1.04,1.03,1.00,0.88
RTX5080,Qwen2.5-7B,4096,8.02e+03,1.72,1.30,1.15,1.07,1.03,1.01,0.99,0.87
RTX5080,Qwen2.5-7B,8192,1.60e+04,1.72,1.30,1.16,1.08,1.03,1.01,0.99,0.87
RTX5080,Qwen2.5-7B,16384,3.17e+04,1.71,1.29,1.15,1.07,1.03,1.01,0.98,0.87
RTX5080,Qwen2.5-14B,64,2.74e+02,1.53,1.17,1.04,0.88,0.82,0.79,0.79,0.69
RTX5080,Qwen2.5-14B,128,3.47e+02,1.54,1.21,1.08,0.97,0.90,0.86,0.87,0.77
RTX5080,Qwen2.5-14B,256,6.39e+02,1.69,1.30,1.16,1.10,1.05,1.02,1.02,0.89
RTX5080,Qwen2.5-14B,512,1.23e+03,1.73,1.32,1.16,1.10,1.05,1.03,1.01,0.88
RTX5080,Qwen2.5-14B,1024,2.43e+03,1.76,1.33,1.19,1.13,1.07,1.05,1.03,0.89
RTX5080,Qwen2.5-14B,2048,4.80e+03,1.75,1.32,1.17,1.10,1.06,1.03,1.01,0.88
RTX5080,Qwen2.5-14B,4096,9.50e+03,1.75,1.31,1.16,1.09,1.04,1.01,1.00,0.87
RTX5080,Qwen2.5-14B,8192,1.88e+04,1.74,1.31,1.16,1.09,1.04,1.01,1.00,0.87
RTX5080,Qwen2.5-14B,16384,3.74e+04,1.72,1.30,1.15,1.08,1.03,1.01,0.99,0.87
GB10,Llama3.2-1B,64,2.06e+02,2.79,1.47,1.33,1.08,1.04,0.99,1.06,0.87
GB10,Llama3.2-1B,128,2.28e+02,2.18,1.37,1.28,1.08,1.05,0.98,1.05,0.91
GB10,Llama3.2-1B,256,2.96e+02,1.72,1.30,1.21,1.06,1.04,1.00,1.04,0.91
GB10,Llama3.2-1B,512,4.10e+02,1.37,1.08,0.96,0.88,0.85,0.86,0.83,0.72
GB10,Llama3.2-1B,1024,7.06e+02,1.22,0.96,0.85,0.80,0.75,0.75,0.74,0.64
GB10,Llama3.2-1B,2048,1.43e+03,1.27,0.96,0.84,0.80,0.75,0.74,0.73,0.63
GB10,Llama3.2-1B,4096,2.74e+03,1.23,0.93,0.82,0.77,0.72,0.72,0.70,0.62
GB10,Llama3.2-1B,8192,5.56e+03,1.24,0.93,0.83,0.78,0.73,0.73,0.72,0.63
GB10,Llama3.2-1B,16384,1.11e+04,1.22,0.93,0.83,0.77,0.74,0.73,0.71,0.63
GB10,BitNet-2B,64,2.19e+02,2.38,1.35,1.23,1.14,0.99,0.95,1.02,0.84
GB10,BitNet-2B,128,2.49e+02,2.05,1.27,1.14,1.09,0.99,0.95,1.00,0.85
GB10,BitNet-2B,256,3.20e+02,1.69,1.19,1.14,1.07,0.98,0.96,0.98,0.88
GB10,BitNet-2B,512,4.52e+02,1.33,1.01,0.93,0.87,0.83,0.80,0.81,0.71
GB10,BitNet-2B,1024,7.92e+02,1.24,0.92,0.85,0.79,0.77,0.74,0.72,0.64
GB10,BitNet-2B,2048,1.52e+03,1.22,0.91,0.83,0.78,0.74,0.70,0.70,0.62
GB10,BitNet-2B,4096,3.07e+03,1.21,0.90,0.81,0.77,0.74,0.70,0.70,0.61
GB10,BitNet-2B,8192,6.15e+03,1.21,0.90,0.81,0.76,0.74,0.70,0.70,0.61
GB10,BitNet-2B,16384,1.24e+04,1.22,0.90,0.82,0.77,0.74,0.70,0.70,0.60
GB10,Llama3.2-3B,64,3.71e+02,2.35,1.62,1.36,1.12,1.14,0.95,1.10,0.93
GB10,Llama3.2-3B,128,4.00e+02,2.12,1.51,1.33,1.11,1.13,0.97,1.08,0.90
GB10,Llama3.2-3B,256,4.70e+02,1.80,1.40,1.23,1.03,1.06,0.95,1.04,0.90
GB10,Llama3.2-3B,512,6.64e+02,1.41,1.11,0.99,0.90,0.88,0.88,0.83,0.77
GB10,Llama3.2-3B,1024,1.09e+03,1.23,0.94,0.82,0.76,0.75,0.73,0.71,0.61
GB10,Llama3.2-3B,2048,2.31e+03,1.29,0.97,0.85,0.79,0.76,0.74,0.73,0.64
GB10,Llama3.2-3B,4096,4.45e+03,1.23,0.92,0.81,0.75,0.74,0.71,0.70,0.61
GB10,Llama3.2-3B,8192,9.11e+03,1.24,0.94,0.83,0.77,0.76,0.73,0.71,0.63
GB10,Llama3.2-3B,16384,1.83e+04,1.24,0.94,0.83,0.78,0.76,0.73,0.71,0.63
GB10,Qwen2.5-7B,64,1.08e+03,1.97,1.26,1.27,1.14,0.92,1.02,1.05,0.91
GB10,Qwen2.5-7B,128,1.15e+03,1.94,1.25,1.25,1.16,0.94,1.03,1.05,0.94
GB10,Qwen2.5-7B,256,1.29e+03,1.85,1.27,1.23,1.15,0.96,1.05,1.05,0.94
GB10,Qwen2.5-7B,512,1.61e+03,1.55,1.12,1.01,0.92,0.85,0.86,0.84,0.74
GB10,Qwen2.5-7B,1024,2.78e+03,1.30,0.95,0.85,0.79,0.73,0.73,0.73,0.65
GB10,Qwen2.5-7B,2048,5.58e+03,1.29,0.94,0.85,0.78,0.72,0.70,0.72,0.64
GB10,Qwen2.5-7B,4096,1.12e+04,1.23,0.90,0.81,0.76,0.68,0.67,0.70,0.61
GB10,Qwen2.5-7B,8192,2.25e+04,1.30,0.95,0.86,0.80,0.72,0.72,0.74,0.65
GB10,Qwen2.5-7B,16384,4.45e+04,1.26,0.91,0.83,0.78,0.70,0.69,0.72,0.63
GB10,Qwen2.5-14B,64,1.39e+03,2.36,1.42,1.36,1.25,1.04,0.96,1.13,0.94
GB10,Qwen2.5-14B,128,1.44e+03,2.20,1.42,1.36,1.22,1.01,0.93,1.12,0.97
GB10,Qwen2.5-14B,256,1.55e+03,1.99,1.38,1.31,1.19,1.03,0.95,1.11,0.92
GB10,Qwen2.5-14B,512,1.97e+03,1.59,1.21,1.07,1.00,0.97,0.90,0.93,0.81
GB10,Qwen2.5-14B,1024,3.12e+03,1.28,0.95,0.83,0.78,0.75,0.70,0.71,0.63
GB10,Qwen2.5-14B,2048,6.21e+03,1.24,0.94,0.83,0.78,0.75,0.69,0.72,0.63
GB10,Qwen2.5-14B,4096,1.26e+04,1.26,0.96,0.84,0.79,0.76,0.71,0.72,0.64
GB10,Qwen2.5-14B,8192,2.48e+04,1.25,0.95,0.83,0.78,0.75,0.70,0.72,0.63
GB10,Qwen2.5-14B,16384,5.00e+04,1.26,0.96,0.84,0.79,0.76,0.71,0.72,0.63
