GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
H100,Qwen2.5-14B,256,2.91e+02,2.03,1.50,1.44,1.36,1.24,1.18,1.24,1.11
H100,Qwen2.5-14B,512,3.44e+02,1.55,1.18,1.09,1.02,0.92,0.89,0.93,0.82
H100,Qwen2.5-14B,1024,6.80e+02,1.62,1.25,1.14,1.07,0.99,0.94,1.00,0.89
H100,Qwen2.5-14B,2048,1.25e+03,1.65,1.24,1.03,0.92,0.92,0.89,0.97,0.81
H100,Qwen2.5-14B,4096,2.62e+03,1.66,1.20,1.05,1.04,0.92,0.88,0.90,0.79
H100,Qwen2.5-14B,8192,5.41e+03,1.66,1.23,1.07,1.03,0.95,0.87,0.94,0.80
H100,Qwen2.5-14B,16384,1.35e+04,2.01,1.51,1.36,1.26,1.13,1.05,1.13,1.01
B200,Llama3.2-1B,64,5.78e+01,1.86,1.64,1.66,1.51,1.40,1.47,1.55,1.47
B200,Llama3.2-1B,128,6.39e+01,2.05,1.71,1.77,1.63,1.55,1.55,1.62,1.55
B200,Llama3.2-1B,256,7.51e+01,2.26,1.83,1.82,1.74,1.66,1.73,1.74,1.69
B200,Llama3.2-1B,512,9.99e+01,2.50,2.20,2.17,1.90,1.75,1.92,2.01,1.89
B200,Llama3.2-1B,1024,1.71e+02,3.43,2.77,2.75,2.44,2.38,2.42,2.57,2.44
B200,Llama3.2-1B,2048,3.18e+02,4.54,3.56,3.56,3.06,2.88,2.98,3.18,2.91
B200,Llama3.2-1B,4096,5.83e+02,5.08,3.83,3.75,3.16,2.91,3.00,3.29,2.99
B200,Llama3.2-1B,8192,1.14e+03,5.57,4.15,3.96,3.39,3.18,3.26,3.50,3.12
B200,Llama3.2-1B,16384,2.25e+03,5.97,4.23,4.22,3.43,3.27,3.35,3.57,3.25
B200,BitNet-2B,64,6.09e+01,2.04,1.67,1.69,1.64,1.64,1.55,1.64,1.62
B200,BitNet-2B,128,6.80e+01,2.21,1.83,1.80,1.74,1.73,1.65,1.73,1.73
B200,BitNet-2B,256,7.57e+01,2.07,1.91,1.84,1.83,1.75,1.67,1.76,1.69
B200,BitNet-2B,512,1.25e+02,2.99,2.37,2.51,2.39,2.25,2.17,2.30,2.17
B200,BitNet-2B,1024,2.07e+02,3.64,2.88,2.99,2.95,2.74,2.64,2.73,2.57
B200,BitNet-2B,2048,3.57e+02,4.48,3.31,3.42,3.27,3.02,2.73,3.03,2.80
B200,BitNet-2B,4096,6.56e+02,4.99,3.78,3.74,3.56,3.27,3.06,3.27,2.91
B200,BitNet-2B,8192,1.29e+03,5.79,4.06,4.08,3.86,3.51,3.31,3.51,3.17
