algorithm,seed,max_evals,evaluations,best_noisy,post_true,post_median,post_cvar20
ProbeSwitch-MR-Robust(t=0.22),33,200,200,0.009428100161441782,0.04008483440940355,0.028735004747691188,0.08406539840120544
ProbeSwitch-MR-Robust(t=0.22),34,200,200,0.0015057557318328848,0.03784995464229846,0.03497165168030726,0.07073387185118322
ProbeSwitch-MR-Robust(t=0.22),35,200,200,0.0017809706295214452,0.01445380871254803,0.010046442924286449,0.035793768889372184
ProbeSwitch-MR-Robust(t=0.22),36,200,200,0.03579900220859275,0.05569540068948328,0.05399220501186246,0.07548865804254644
ProbeSwitch-MR-Robust(t=0.22),37,200,200,0.029549124418529728,0.10004928291424786,0.1025110648415189,0.15714032262839922
ProbeSwitch-MR-Robust(t=0.22),38,200,200,0.004795072044357256,0.023326431873366117,0.022268734824922132,0.040571227005772634
ProbeSwitch-MR-Robust(t=0.22),39,200,200,0.0009625941786919395,0.008123361160344074,0.0055386674710019585,0.01948976850000941
ProbeSwitch-MR-Robust(t=0.22),40,200,200,0.033791612626269174,0.11098537907859046,0.11732669849402663,0.15851553249028255
ProbeSwitch-MR-Robust(t=0.22),41,200,200,0.0009970272779001965,0.02038254755361286,0.017090069820820203,0.03577897799583972
ProbeSwitch-MR-Robust(t=0.22),42,200,200,0.009882034037776015,0.18656417992180302,0.18521975231751217,0.232131934871815
ProbeSwitch-MR-Robust(t=0.22),43,200,200,0.06506290528658558,0.09827022812235245,0.09707175946337993,0.12011984934789456
ProbeSwitch-MR-Robust(t=0.22),44,200,200,0.09494254898074588,0.13029938488996956,0.1294162353746275,0.14767471495959933
ProbeSwitch-MR-Robust(t=0.22),45,200,200,0.005866363939471613,0.04953846086961372,0.04071458003795163,0.09237030542604972
ProbeSwitch-MR-Robust(t=0.22),46,200,200,0.0065358981435514885,0.04911776399276303,0.04595196648159841,0.08050044349942569
ProbeSwitch-MR-Robust(t=0.22),47,200,200,0.000528174413207081,0.0036240667446960787,0.003181059749059685,0.006796182567426293
ProbeSwitch-MR-Robust(t=0.22),48,200,200,0.0014334195607218464,0.055202765420972584,0.048142343175640506,0.10229558785482971
ProbeSwitch-MR-Robust(t=0.22),49,200,200,0.03377726686783529,0.09494442227684621,0.09085058397966149,0.1551362694375345
ProbeSwitch-MR-Robust(t=0.22),50,200,200,0.010324874182264066,0.04895181404136771,0.03955951130988937,0.08617467048313927
