"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"LeroyDyer/Mixtral_AI_SwahiliTron_7b",0.511500766705373,-0.5938520210431,51,840,0.705882352941177,0.498936177481006,0.492890995260663,844,0.01860977144471,0.01860977144471,0.000346323593224345
"LeroyDyer/Mixtral_BioMedical",0.562412749042947,-0.0296221490168761,30,840,0.7,0.557316924933426,0.600710900473934,844,-0.038298151430987,0.038298151430987,0.00146674840303081
"LeroyDyer/Mixtral_Chat_X",0.566298797194767,-0.00109896742058535,30,840,0.7,0.561346900794573,0.603080568720379,844,-0.036781771525612,0.036781771525612,0.00135289871656232
"LeroyDyer/Mixtral_Chat_X_128k",0.56608695091463,-0.00413052926283178,30,840,0.633333333333333,0.563596344158382,0.599526066350711,844,-0.033439115436081,0.033439115436081,0.00111817444114755
"LeroyDyer/Mixtral_Instruct",0.55251170233459,-0.130505915398883,35,840,0.714285714285714,0.545478049641063,0.587677725118483,844,-0.035166022783893,0.035166022783893,0.00123664915843728
"LeroyDyer/Mixtral_ThoughtsProcess_1",0.564134690437122,-0.0140283643501853,30,840,0.7,0.559102641934794,0.603080568720379,844,-0.0389458782832569,0.0389458782832569,0.00151678143525426
"LeroyDyer/Mixtral_Uncensored",0.568892025282933,0.0126171616066943,30,840,0.633333333333333,0.566505310169955,0.582938388625592,844,-0.014046363342659,0.014046363342659,0.000197300323153993
"Locutusque/Hyperion-3.0-Mixtral-3x7B",0.532300852626271,-0.321322133992181,46,840,0.652173913043478,0.525356065750715,0.537914691943128,844,-0.00561383931685699,0.00561383931685699,3.15151918754894e-05
"lodrick-the-lafted/Grafted-Hermetic-Platypus-A-2x7B",0.506849330573789,-0.614203302080539,47,840,0.659574468085106,0.497797525450167,0.517772511848341,844,-0.0109231812745521,0.0109231812745521,0.000119315889156725
"lodrick-the-lafted/Grafted-Hermetic-Platypus-B-2x7B",0.511965522746899,-0.55963443847267,40,840,0.7,0.502563798884244,0.518957345971564,844,-0.00699182322466496,0.00699182322466496,4.88855920049643e-05
"lodrick-the-lafted/Grafted-Hermetic-Platypus-C-2x7B",0.514604392869819,-0.537175010033473,38,840,0.736842105263158,0.504074426447192,0.518957345971564,844,-0.00435295310174499,0.00435295310174499,1.89482007059914e-05
"lodrick-the-lafted/Grafted-Hermetic-Platypus-D-2x7B",0.508538740158328,-0.589466473678858,43,840,0.674418604651163,0.499589136427849,0.511848341232227,844,-0.00330960107389899,0.00330960107389899,1.09534592683534e-05
"lodrick-the-lafted/Grafted-Wind-Elementals-2x70B",0.578501577490766,0.124897436231313,30,840,0.666666666666667,0.575236203817585,0.693127962085308,844,-0.114626384594542,0.114626384594542,0.0131392080452159
"LoSboccacc/orthogonal-2x7B-base",0.584457875162438,0.175372113347202,30,840,0.7,0.580178537205491,0.619668246445498,844,-0.03521037128306,0.03521037128306,0.00123977024589094
"LoSboccacc/orthogonal-2x7B-v2-base",0.576521643578732,0.0850137425225742,30,840,0.733333333333333,0.570713803217451,0.62085308056872,844,-0.044331436989988,0.044331436989988,0.00196527630559727
"louisbrulenaudet/Pearl-3x7B",0.564640560460901,-0.0373222139273665,32,840,0.625,0.562250087607867,0.605450236966825,844,-0.0408096765059239,0.0408096765059239,0.00166542969651816
