"X","a1","d","g","u"
"X451",6.59525026173143,-9.90419059342903,0.0102202641105663,1
"X452",3.06501448730389,2.30200120441452,0.617849219444006,1
"X453",-5.73194852222708,-16.4984088315463,0.00131628149450457,1
"X454",-0.233956208369517,0.47125750234068,0.000591457369020268,1
"X458",3.57471142132513,0.786513798667806,0.8449381376806,1
"X459",8.9411233697611,-11.9796125318383,0.099390308083395,1
"X460",0.518347705257525,1.42293401714241,0.00189002335282294,1
"X461",-0.924192497928722,-0.494944141151158,3.34443405533928e-05,1
"X462",-2.02309047768465,-6.51113294531194,0.0030902959120394,1
"X463",-0.315466572234379,-3.87890794591184,0.000223843536171865,1
"X465",1.75893286832148,3.77185399804808,0.480530342941535,1
"X466",-0.126600953355978,-0.377989265957837,0.00312836648331071,1
"X468",-0.209628386328062,-0.509608683837623,0.000615408978834385,1
"X469",-0.434703913856371,-1.93350446810243,0.000133383244684491,1
"X472",4.21573570374353,-4.24865932461795,0.805430605217964,1
"X473",12.8760136370382,-23.2506073247605,0.535899162229584,1
"X474",21.2171104936882,-21.9822675499431,0.0197089750752488,1
"X476",5.88048815347714,-1.62219743589157,0.0582506699308456,1
"X477",-0.674697187048227,-2.28257445141683,4.1780573556014e-05,1
"X479",17.9357835942721,-23.2126962457426,0.712683696262651,1
"X480",-0.175851977611187,0.386761403824424,0.00223768535978688,1
"X483",0.949049577137165,0.673653616420137,0.000529751548688116,1
"X484",3.09520073578235,2.6870524727449,0.810920855288092,1
"X486",1.02086777395773,0.368099317674242,0.776533173735824,1
"X487",0.763849353250169,-4.2352877418063,0.00103306011701348,1
"X489",1.72601794763871,2.13605477201837,0.0925355000748405,1
"X491",1.61412439486428,-5.64712898785266,0.00443651840111824,1
"X492",3.92242409388467,-2.56576426714341,0.255915387349456,1
"X493",-0.0322420759966957,1.38817195132697,0.0837077285580864,1
"X494",2.76371434359933,0.681285014756404,0.428430276016912,1
"X495",-5.08794142083285,-17.5936285102114,5.68436298758595e-06,1
"X496",13.2279868013771,1.97941859800238,0.707637282780122,1
"X497",-1.11718130168817,-7.71838078560404,1.39230560790281e-05,1
"X498",0.966756916689512,2.61838149444379,0.00456266921327852,1
"X501",-0.787554056865865,-4.96483221714863,7.63867787463548e-05,1
"X504",4.96894290089624,-6.43973368013977,0.127247900436123,1
"X505",6.19275577872522,-4.32800330168337,0.623878708625523,1
"X507",3.61285954187577,4.90861133456424,0.302959870456504,1
"X508",5.27278764363454,-5.64077414052082,0.0543678682031624,1
"X509",2.04801457400856,-2.37377671584527,0.212392454142114,1
"X510",5.00908110098983,5.11498149908188,0.166372095072212,1
"X512",3.40145967966772,2.71863076658438,0.88393448344267,1
"X513",2.42901233046102,6.18441743476149,0.790755698489891,1
"X514",11.0556065039583,-3.66604555432925,0.290206022482841,1
"X515",6.19707379080029,-9.57943036364743,0.274049136190807,1
"X516",9.16826162950617,-12.7964924810046,0.0178227518253726,1
"X518",1.9446632307758,4.87663099498179,0.54390468189043,1
"X519",1.11422565211834,-8.46805286128199,0.00135105360434667,1
"X522",6.49310919267098,4.77746247027015,0.594107850992096,1
"X523",-0.0159999293635394,-0.315273876371169,0.103421619423723,1
"X524",2.91518582416789,1.32359528824819,0.45198849987851,1
"X527",3.30684634801726,-2.32625225924005,0.0341257602620154,1
"X528",3.28388166927313,1.16360447869642,0.0564044786139785,1
