"Model_Name","Theta_ATLAS","Theta_WLE","SE","Num_Items","Time_Taken_Sec"
"NovoCode/Mistral-NeuralDPO-v0.2",0.00167321404661168,0.0210377042735175,0.1287063571565,30,0.601965188980103
"ZhangShenao/0.0005_llama_4iters_bs128_5551lr_iter_1",-0.727245030156464,-0.645141379539722,0.110717985181864,30,0.566806554794312
"ResplendentAI/Aura_L3_8B",-0.757658546407692,-0.750722614943185,0.105080150488985,30,0.582482576370239
"lodrick-the-lafted/Grafted-Hermetic-Platypus-C-2x7B",-0.600668584386168,-0.555399308067967,0.111287405005583,30,0.587050199508667
"Kukedlc/NeuTrixOmniBe-7B-model-remix",2.8795551955236,2.82075587136379,0.299541609030036,60,1.05835843086243
"walebadr/Mistral-7B-v0.1-DPO",-1.5016416951987,-2.04547688733612,0.071737395499997,30,0.448212385177612
"mergedlm/zephyrnotus-11b-alpha",-0.249097968315406,-0.431987214556843,0.12386466863132,30,0.811021089553833
"FelixChao/Capricorn-7B",1.52783234169057,1.72474915854032,0.178809105109493,30,0.49095344543457
"Joseph717171/Mistral-12.25B-v0.2",-0.727302457196356,-0.716678833018962,0.105244183077045,30,0.487797975540161
"louisgrc/Montebello_7B_SLERP",2.97700375065609,2.80530940681828,0.29803551682876,78,1.61038184165955
"arcee-ai/Clown-DPO-Extended",2.72333883926726,2.53279005620788,0.299998381932802,42,1.08293437957764
"ericpolewski/AIRIC-The-Intern",-1.06630327976087,-1.11781069602139,0.0763442574471349,30,0.822410583496094
"ArianAskari/SOLID-SFT-DPO-MixQV3-SOLIDChosen-SFTRejected-Zephyr-7b-beta",-0.272355042502786,-0.540317594539589,0.121281730387165,30,0.494580030441284
"cloudyu/Truthful_DPO_cloudyu_Mixtral_34Bx2_MoE_60B",-0.0646771026815412,-0.167630399640058,0.126565756496763,30,0.827421903610229
"BioMistral/BioMistral-7B-TIES",-0.616090311052229,-0.926198463655982,0.112241031440135,30,0.567118644714355
"azarafrooz/mistral-v2-7b-selfplay-v0",-0.437307424848537,-0.348889718957835,0.117812497844133,30,0.49094295501709
